                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0378,                  3.059,                  3.242,                 1.3118,                0.01086,                0.79872,                0.12833,                0.06514,                0.00975,                0.67923,                0.09639,                0.05687,                 1.0443,                 2.7207,                 3.0429,                  1.465,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                 1.0841,                 3.1989,                  3.236,                 1.3668,                0.01081,                0.81019,                0.13762,                0.07536,                0.01005,                 0.7209,                0.10204,                 0.0656,                 1.0833,                 2.7452,                 3.0449,                 1.4717,              9.904e-05,              9.904e-05,              9.904e-05
                      3,                0.91165,                 2.4211,                 3.0866,                 1.2326,                0.01041,                0.78086,                 0.2116,                 0.1514,                0.01009,                0.75705,                0.20652,                0.13689,                0.84494,                 2.4504,                  3.047,                 1.2917,             0.00015408,             0.00015408,             0.00015408
                      4,                0.77242,                 1.5744,                 2.6992,                 1.1246,                   0.01,                0.75705,                0.29222,                0.23842,                   0.01,                0.75705,                0.29547,                0.22738,                 0.8272,                 2.7087,                 3.0058,                 1.3179,             0.00020798,             0.00020798,             0.00020798
                      5,                0.75406,                 1.4234,                 2.2673,                 1.1072,                0.01051,                0.83488,                0.34243,                0.25174,                0.01022,                0.82253,                0.33723,                0.25475,                0.82309,                 2.1457,                 2.7952,                 1.2825,             0.00026076,             0.00026076,             0.00026076
                      6,                0.73242,                 1.3075,                 1.9779,                 1.0869,                0.01025,                0.82253,                0.31875,                0.21516,                0.01025,                0.82253,                0.32083,                0.24695,                0.84583,                 2.2923,                 2.8205,                 1.2943,              0.0003124,              0.0003124,              0.0003124
                      7,                 0.7043,                 1.3324,                 1.9549,                 1.0776,                0.43414,                0.22447,                0.35366,                0.22162,                0.43414,                0.22447,                0.36026,                0.25108,                0.91469,                 2.3351,                 2.6318,                 1.3648,             0.00036291,             0.00036291,             0.00036291
                      8,                0.71203,                 1.3245,                 1.7193,                 1.0989,                0.54499,                0.45268,                0.43506,                0.25451,                0.54499,                0.45268,                0.42504,                0.28931,                 1.0401,                 2.7664,                 2.4593,                 1.4839,             0.00041229,             0.00041229,             0.00041229
                      9,                0.66849,                 1.1413,                 1.5109,                 1.0488,                0.38085,                 0.3653,                0.29571,                0.14466,                0.38191,                0.36803,                0.30908,                0.18165,                 1.3729,                 2.9033,                 2.7122,                 1.7935,             0.00046054,             0.00046054,             0.00046054
                     10,                0.64175,                 1.1499,                 1.4913,                 1.0334,                0.42661,                 0.3885,                0.40959,                0.19417,                0.42938,                0.38784,                0.40772,                0.22859,                 1.4751,                 2.4676,                 2.4299,                 1.9192,             0.00050765,             0.00050765,             0.00050765
                     11,                0.67252,                 1.0947,                 1.3796,                 1.0452,                0.35086,                0.32159,                0.31355,                0.18341,                0.35086,                0.32159,                0.30532,                0.16698,                 1.2514,                 3.5749,                 2.3477,                 1.5994,             0.00055364,             0.00055364,             0.00055364
                     12,                0.62069,                 1.0894,                 1.2539,                 1.0266,                0.26354,                0.19631,                0.36007,                0.21756,                0.26203,                 0.1959,                  0.342,                0.21121,                 1.1307,                 3.1989,                 2.3516,                 1.4991,             0.00059849,             0.00059849,             0.00059849
                     13,                0.66627,                 1.2416,                 1.2692,                 1.0546,                0.38329,                0.33917,                0.39975,                0.28097,                0.36332,                0.32152,                0.39548,                0.27341,                 1.1378,                 2.5908,                 2.2596,                 1.5933,             0.00064221,             0.00064221,             0.00064221
                     14,                0.62042,                 1.0545,                 1.2568,                 1.0229,                0.78437,                0.36139,                0.48219,                0.33886,                0.78437,                0.36139,                0.47421,                0.33267,                 1.0559,                 1.9907,                 2.2251,                 1.4097,              0.0006848,              0.0006848,              0.0006848
                     15,                0.64413,                 1.0507,                 1.1791,                 1.0351,                0.74347,                0.42328,                0.58851,                0.45891,                0.74483,                0.42328,                0.56957,                0.44031,                0.93127,                 2.0823,                 2.0283,                  1.253,             0.00072625,             0.00072625,             0.00072625
                     16,                0.64429,                 1.0611,                 1.1927,                 1.0467,                0.68367,                0.28454,                0.40826,                0.27718,                 0.6804,                0.28042,                0.38665,                0.26735,                 1.0952,                 2.5428,                 2.3033,                 1.4452,             0.00076658,             0.00076658,             0.00076658
                     17,                0.63547,                 1.0806,                 1.1724,                 1.0224,                0.69513,                0.29277,                0.45694,                 0.3052,                0.70134,                0.29277,                0.43748,                0.31957,                 1.1329,                 2.9128,                 2.2695,                 1.5039,             0.00080577,             0.00080577,             0.00080577
                     18,                0.63206,                 1.0287,                 1.0776,                 1.0084,                 0.6352,                0.40586,                0.51006,                0.35301,                 0.5034,                0.46917,                0.53557,                 0.3692,                0.99065,                 2.7004,                 2.0088,                 1.4515,             0.00084383,             0.00084383,             0.00084383
                     19,                0.58144,                0.93672,                 0.9704,                0.97229,                0.74061,                0.45348,                0.55284,                0.39031,                0.74061,                0.45348,                0.54587,                0.36552,                0.98353,                 2.4568,                 1.9226,                 1.4142,             0.00088076,             0.00088076,             0.00088076
                     20,                0.61489,                0.98394,                 1.0145,                 1.0206,                0.69032,                0.55268,                 0.5727,                0.36578,                0.67999,                0.54061,                0.56663,                0.32558,                 1.0912,                 3.1241,                 1.8908,                 1.4734,             0.00091656,             0.00091656,             0.00091656
                     21,                 0.5758,                0.94978,                 0.9553,                0.99214,                0.48667,                0.59146,                0.47592,                0.30664,                0.37564,                0.48917,                0.39967,                0.26325,                 1.0533,                 3.1608,                  2.119,                 1.3889,             0.00095123,             0.00095123,             0.00095123
                     22,                0.59972,                0.93883,                0.98691,                0.98806,                0.54607,                0.37932,                0.32502,                0.23734,                0.54607,                0.37932,                0.33572,                0.23454,                 1.1257,                 2.9662,                 2.3819,                 1.3885,             0.00098476,             0.00098476,             0.00098476
                     23,                0.60966,                0.96429,                0.96213,                  1.003,                0.41001,                0.38878,                0.32116,                0.19178,                0.35662,                0.27541,                0.26199,                0.13558,                  1.275,                 4.9436,                 2.4709,                 1.5222,              0.0010172,              0.0010172,              0.0010172
                     24,                0.60379,                0.93831,                0.99014,                0.98493,                0.56156,                0.39991,                0.47342,                0.32212,                0.35213,                0.29828,                0.28233,                 0.1455,                 1.2083,                 6.7318,                  2.025,                  1.465,              0.0010484,              0.0010484,              0.0010484
                     25,                0.60011,                0.96536,                0.97315,                0.99276,                0.33898,                0.40586,                 0.3792,                0.27344,                0.29385,                0.33444,                0.30411,                 0.1991,                 1.0545,                 4.3592,                 2.0522,                  1.465,              0.0010786,              0.0010786,              0.0010786
                     26,                0.57356,                0.93942,                 0.9506,                0.99198,                0.60858,                0.52573,                0.43523,                 0.2615,                0.59434,                0.47648,                0.40166,                0.23364,                 1.1156,                 4.3961,                 2.0655,                 1.6656,              0.0010753,              0.0010753,              0.0010753
                     27,                0.57867,                0.95972,                 0.9298,                 0.9828,                0.52161,                0.60549,                0.48075,                0.28513,                0.52809,                0.63487,                0.50771,                0.27011,                 1.1655,                 3.5436,                 2.0495,                 1.7092,              0.0010612,              0.0010612,              0.0010612
                     28,                0.59632,                0.96491,                0.90294,                 1.0154,                0.59792,                 0.7452,                0.62875,                0.40098,                0.58043,                0.72598,                0.62959,                0.38646,                  1.073,                 2.8673,                  1.739,                 1.5217,               0.001047,               0.001047,               0.001047
                     29,                0.57509,                 0.9318,                0.84448,                0.99293,                 0.6039,                0.84722,                0.71118,                0.47717,                0.61762,                0.71568,                0.66192,                0.42965,                 1.0765,                   3.02,                 1.5004,                  1.478,              0.0010329,              0.0010329,              0.0010329
                     30,                0.57731,                0.93768,                0.88662,                0.98625,                0.74442,                0.58958,                0.62015,                0.45624,                0.70935,                0.55391,                0.57606,                0.38551,                 1.0362,                 2.9505,                 1.7602,                 1.4395,              0.0010187,              0.0010187,              0.0010187
                     31,                0.54639,                0.90139,                0.81981,                0.96747,                0.72476,                0.42899,                0.56702,                0.36926,                 0.7049,                0.40511,                0.53246,                0.35981,                 1.1522,                 2.7698,                 1.9089,                 1.5038,              0.0010046,              0.0010046,              0.0010046
                     32,                0.55193,                 1.0143,                0.85558,                0.97571,                0.64385,                0.60218,                 0.5681,                0.37502,                0.70347,                0.48512,                0.55398,                0.37976,                 1.1692,                 2.5615,                 1.8492,                 1.5652,             0.00099044,             0.00099044,             0.00099044
                     33,                0.55215,                0.91872,                0.84459,                 0.9905,                0.56091,                0.63951,                0.58646,                0.41667,                0.54171,                0.62733,                 0.5665,                0.40893,                 1.0333,                 2.4198,                 1.7695,                 1.4007,             0.00097629,             0.00097629,             0.00097629
                     34,                0.53575,                0.83406,                0.80113,                  0.963,                0.57781,                0.69926,                0.70827,                0.50738,                  0.641,                0.61435,                0.69364,                0.48499,                0.99191,                 2.6595,                  1.495,                 1.4504,             0.00096215,             0.00096215,             0.00096215
                     35,                0.55573,                0.89053,                0.75673,                0.95598,                0.61382,                0.67109,                0.60652,                0.40592,                0.61382,                0.67109,                0.59858,                0.39216,                  1.075,                 2.7282,                 1.7445,                 1.6001,               0.000948,               0.000948,               0.000948
                     36,                0.54668,                0.88708,                 0.8396,                0.97097,                 0.6847,                0.72351,                0.67132,                 0.4856,                 0.6847,                0.72351,                0.66617,                0.48729,                0.97187,                 2.5129,                 1.6159,                 1.4606,             0.00093385,             0.00093385,             0.00093385
                     37,                0.51081,                0.85125,                0.77098,                0.95341,                 0.5969,                0.78669,                0.62986,                0.47497,                 0.5969,                0.78669,                0.62414,                0.47006,                0.92538,                 2.6226,                 1.7602,                 1.3546,              0.0009197,              0.0009197,              0.0009197
                     38,                0.51678,                0.82521,                0.75305,                0.95787,                0.61812,                0.71104,                0.62748,                 0.4697,                0.61812,                0.71104,                0.61235,                0.43819,                0.95087,                 2.7336,                 1.7931,                 1.4073,             0.00090556,             0.00090556,             0.00090556
                     39,                0.54531,                0.85644,                0.77599,                   0.99,                0.68373,                0.62093,                0.66744,                0.45059,                0.68835,                0.61909,                0.64104,                0.40414,                 1.0649,                 2.8517,                 1.5548,                 1.4835,             0.00089141,             0.00089141,             0.00089141
                     40,                0.54859,                0.83856,                0.74197,                0.98064,                0.64298,                0.79629,                0.67769,                0.47727,                0.60405,                0.71344,                 0.5951,                0.40196,                 1.0022,                  3.101,                 1.2511,                 1.4746,             0.00087726,             0.00087726,             0.00087726
                     41,                0.52931,                0.80858,                0.73116,                0.95695,                0.60932,                0.68616,                0.67773,                0.48039,                0.60932,                0.68616,                0.66205,                0.42111,                 1.0214,                 3.0511,                 1.3234,                  1.513,             0.00086312,             0.00086312,             0.00086312
                     42,                0.50916,                0.77843,                0.72461,                0.95684,                0.53435,                0.62612,                0.63138,                0.43925,                0.53435,                0.62612,                0.62778,                0.42778,                 1.0705,                 3.1913,                 1.7857,                 1.5532,             0.00084897,             0.00084897,             0.00084897
                     43,                0.51644,                0.87137,                0.73227,                0.97377,                0.64371,                0.66183,                0.64748,                0.47324,                0.64371,                0.66183,                0.64313,                0.46462,                0.96013,                 2.4077,                 1.5076,                 1.4455,             0.00083482,             0.00083482,             0.00083482
                     44,                0.52355,                0.83513,                0.71931,                0.95766,                0.62549,                0.60264,                0.60872,                 0.4361,                0.61459,                  0.609,                0.57644,                0.42272,                0.99174,                 2.3317,                 1.4346,                 1.4012,             0.00082067,             0.00082067,             0.00082067
                     45,                0.51271,                0.77686,                 0.7155,                0.95634,                0.41378,                0.62772,                0.54662,                 0.3983,                0.72161,                0.39847,                0.54203,                0.35234,                 0.9675,                 2.4403,                 1.5617,                 1.3587,             0.00080653,             0.00080653,             0.00080653
                     46,                0.49605,                0.75828,                 0.6706,                0.94014,                0.68375,                 0.7432,                0.71171,                0.51962,                 0.6751,                0.73148,                 0.6974,                0.48295,                0.97109,                 2.2757,                 1.3705,                 1.3407,             0.00079238,             0.00079238,             0.00079238
                     47,                0.48998,                 0.7795,                0.64511,                0.93669,                0.72738,                0.67233,                0.76362,                0.55572,                0.71457,                0.65894,                0.75686,                0.53401,                0.96615,                 2.2563,                 1.2254,                 1.3734,             0.00077823,             0.00077823,             0.00077823
                     48,                0.49808,                0.73932,                 0.6891,                0.95614,                0.73801,                0.69388,                0.78421,                0.51484,                0.73801,                0.69388,                0.75214,                0.50796,                 1.0266,                 2.4051,                 1.2315,                 1.3902,             0.00076409,             0.00076409,             0.00076409
                     49,                0.49385,                0.76983,                0.69477,                0.95617,                0.81314,                0.72773,                0.80925,                0.56192,                 0.7998,                0.66284,                0.78473,                0.54639,                0.99527,                 2.6934,                 1.2024,                 1.4216,             0.00074994,             0.00074994,             0.00074994
                     50,                0.51329,                0.79065,                0.71727,                0.96756,                0.80208,                0.64684,                0.77312,                0.53364,                0.80208,                0.64684,                0.74025,                0.54732,                0.96272,                 2.4623,                 1.1487,                 1.4322,             0.00073579,             0.00073579,             0.00073579
                     51,                0.49849,                0.76946,                0.69697,                0.95356,                0.79943,                0.66226,                0.74101,                0.55822,                0.79943,                0.66226,                0.73794,                0.56939,                0.85249,                 2.1039,                 1.2077,                 1.3272,             0.00072164,             0.00072164,             0.00072164
                     52,                0.46011,                0.78223,                0.64264,                0.92734,                0.86178,                0.66064,                0.82009,                0.64803,                0.86178,                0.66064,                0.81167,                0.64167,                0.80739,                 1.9257,                 1.0832,                 1.2886,              0.0007075,              0.0007075,              0.0007075
                     53,                0.47658,                0.78226,                  0.639,                0.94398,                0.90692,                0.69651,                 0.8574,                0.64993,                0.90692,                0.69651,                0.85016,                0.63076,                0.83176,                   1.93,                 1.0804,                 1.3305,             0.00069335,             0.00069335,             0.00069335
                     54,                0.48706,                0.82116,                0.65837,                0.94877,                0.89181,                0.75456,                0.82544,                0.62808,                0.89181,                0.75456,                0.81945,                0.61576,                0.88295,                 2.0499,                 1.0808,                 1.4029,              0.0006792,              0.0006792,              0.0006792
                     55,                0.46284,                0.72386,                0.63526,                0.93866,                 0.9038,                0.67246,                0.77638,                0.57712,                 0.9038,                0.67246,                0.76882,                0.56931,                0.87001,                 2.1168,                 1.2282,                 1.3604,             0.00066506,             0.00066506,             0.00066506
                     56,                0.45404,                0.72005,                0.61601,                0.92733,                0.72175,                0.65565,                0.66103,                0.49626,                0.72175,                0.65565,                0.65523,                0.50096,                0.86718,                 1.9834,                 1.5326,                 1.2958,             0.00065091,             0.00065091,             0.00065091
                     57,                0.46703,                0.70738,                0.60649,                0.93472,                0.81371,                0.54305,                0.67231,                 0.5075,                0.81371,                0.54305,                0.66346,                0.49738,                0.83861,                 1.9906,                  1.428,                 1.2783,             0.00063676,             0.00063676,             0.00063676
                     58,                0.48691,                0.72932,                0.64734,                0.93288,                0.71256,                0.61204,                0.68044,                0.51224,                0.71256,                0.61204,                0.66741,                0.49972,                0.78969,                 2.0009,                 1.2625,                 1.2815,             0.00062262,             0.00062262,             0.00062262
                     59,                0.46544,                0.68819,                0.58831,                0.93772,                 0.7744,                0.62827,                0.69785,                0.52431,                 0.7744,                0.62827,                0.68812,                0.52707,                  0.746,                 1.8568,                 1.2321,                 1.2174,             0.00060847,             0.00060847,             0.00060847
                     60,                 0.4604,                 0.7113,                0.58833,                0.93509,                   0.89,                0.63295,                0.72552,                0.56216,                   0.89,                0.63295,                0.71569,                0.56358,                0.76516,                 1.6943,                 1.1677,                 1.2211,             0.00059432,             0.00059432,             0.00059432
                     61,                0.43413,                0.67937,                0.60111,                0.92536,                0.90736,                0.61464,                0.74473,                0.58635,                0.90736,                0.61464,                0.73751,                0.58284,                0.74667,                 1.6153,                 1.3147,                 1.1891,             0.00058017,             0.00058017,             0.00058017
                     62,                0.46726,                0.76049,                0.59906,                0.93891,                0.73426,                0.59083,                0.64713,                0.51764,                0.73426,                0.59083,                0.65566,                0.53408,                0.77404,                 1.6455,                 1.5118,                 1.2098,             0.00056603,             0.00056603,             0.00056603
                     63,                0.47183,                0.72256,                0.60734,                0.91957,                0.65176,                0.69797,                0.60926,                0.49612,                0.65176,                0.69797,                0.62505,                0.49701,                0.78295,                 1.6549,                 1.5375,                 1.1811,             0.00055188,             0.00055188,             0.00055188
                     64,                0.45174,                0.66706,                0.57166,                0.91916,                0.75563,                0.76265,                0.71111,                0.57953,                0.75563,                0.76265,                0.70108,                0.56741,                0.69748,                 1.6437,                 1.3149,                 1.1149,             0.00053773,             0.00053773,             0.00053773
                     65,                0.44492,                0.69293,                0.53842,                0.91222,                0.79752,                0.71938,                0.74404,                0.62887,                0.79752,                0.71938,                0.72818,                0.59583,                0.71118,                 1.6315,                  1.128,                 1.1261,             0.00052359,             0.00052359,             0.00052359
                     66,                0.41221,                0.61179,                0.55278,                0.91436,                0.77769,                 0.7761,                0.77668,                0.65208,                0.77769,                 0.7761,                0.76508,                0.62579,                 0.7277,                 1.7604,                 1.1644,                 1.1151,             0.00050944,             0.00050944,             0.00050944
                     67,                0.42595,                0.67307,                0.57212,                 0.9131,                0.80476,                 0.6995,                 0.7226,                0.59582,                0.80476,                 0.6995,                0.71633,                0.59962,                0.72036,                 1.7562,                 1.2632,                  1.124,             0.00049529,             0.00049529,             0.00049529
                     68,                0.43906,                 0.6526,                0.55025,                0.92259,                0.91793,                0.66226,                0.72357,                 0.5799,                0.91793,                0.66226,                0.72081,                0.60818,                0.75348,                 1.7251,                 1.2481,                 1.1683,             0.00048114,             0.00048114,             0.00048114
                     69,                 0.4113,                0.66622,                0.53178,                0.90237,                0.89922,                0.65941,                0.72391,                0.58557,                0.89922,                0.65941,                0.72087,                0.59461,                 0.7247,                 1.7088,                 1.2416,                 1.1395,               0.000467,               0.000467,               0.000467
                     70,                0.41895,                0.65049,                 0.5248,                0.91392,                0.83488,                0.65437,                0.73383,                0.56738,                0.83488,                0.65437,                0.72625,                0.57985,                0.71677,                 1.6477,                 1.2445,                 1.1384,             0.00045285,             0.00045285,             0.00045285
                     71,                0.39021,                0.59983,                0.50159,                0.90859,                0.74814,                0.74851,                0.77994,                0.57151,                0.74814,                0.74851,                0.77358,                0.58475,                0.77299,                 1.6975,                 1.1932,                 1.2099,              0.0004387,              0.0004387,              0.0004387
                     72,                0.40136,                0.63854,                0.50042,                0.92123,                 0.8037,                0.67791,                0.77673,                0.56204,                 0.8037,                0.67791,                  0.771,                0.58469,                0.74864,                 1.6505,                 1.2292,                  1.165,             0.00042456,             0.00042456,             0.00042456
                     73,                0.39551,                0.60945,                0.51723,                0.90012,                 0.7887,                 0.7223,                0.76143,                0.56635,                 0.7887,                 0.7223,                 0.7549,                 0.5744,                0.72417,                 1.6472,                 1.2656,                 1.1246,             0.00041041,             0.00041041,             0.00041041
                     74,                0.40024,                0.65218,                 0.5017,                 0.9069,                0.79987,                 0.7026,                0.74074,                0.56771,                0.79987,                 0.7026,                0.73229,                0.57775,                0.74584,                 1.7342,                 1.2448,                  1.155,             0.00039626,             0.00039626,             0.00039626
                     75,                0.40771,                0.63277,                0.49421,                0.90402,                0.74277,                 0.7384,                0.72729,                0.55773,                0.74277,                 0.7384,                0.72017,                0.56635,                0.78018,                 1.8059,                 1.2653,                  1.216,             0.00038211,             0.00038211,             0.00038211
                     76,                0.41023,                0.61888,                0.50967,                0.92142,                0.72028,                0.73173,                0.73472,                0.57205,                0.72028,                0.73173,                0.72853,                0.58368,                0.79566,                 1.8576,                 1.3236,                 1.2205,             0.00036797,             0.00036797,             0.00036797
                     77,                0.39822,                0.59926,                 0.5081,                0.90815,                0.80356,                  0.723,                0.76149,                0.60247,                0.80356,                  0.723,                0.73375,                0.60132,                0.78516,                 1.7959,                 1.2697,                 1.2259,             0.00035382,             0.00035382,             0.00035382
                     78,                0.42515,                0.65911,                0.50572,                0.92947,                0.83215,                0.70153,                0.75135,                0.59395,                0.83215,                0.70153,                0.73562,                0.61409,                0.75643,                 1.6867,                 1.2764,                 1.1972,             0.00033967,             0.00033967,             0.00033967
                     79,                0.37279,                0.60793,                0.47234,                0.87944,                0.87412,                0.67477,                0.77245,                0.62506,                0.87412,                0.67477,                0.76133,                0.63594,                0.72705,                 1.5528,                 1.1696,                 1.1761,             0.00032553,             0.00032553,             0.00032553
                     80,                0.39802,                0.61163,                0.48183,                0.89592,                0.86912,                0.68094,                 0.7989,                0.65976,                0.86912,                0.68094,                0.78596,                0.65917,                0.69547,                 1.5322,                 1.0146,                 1.1277,             0.00031138,             0.00031138,             0.00031138
                     81,                0.38462,                0.60431,                0.46094,                 0.9014,                0.84386,                 0.7242,                0.81934,                0.66779,                0.84386,                 0.7242,                0.81492,                 0.6812,                0.68686,                 1.5197,                0.91046,                 1.1131,             0.00029723,             0.00029723,             0.00029723
                     82,                0.38425,                0.60177,                0.48297,                0.91004,                0.82072,                0.75768,                0.83086,                0.66725,                0.88225,                0.70357,                0.82531,                0.68041,                0.66704,                 1.5316,                0.90722,                 1.0811,             0.00028308,             0.00028308,             0.00028308
                     83,                0.39209,                0.60472,                0.44412,                0.90288,                0.76868,                0.78537,                0.80269,                 0.6595,                0.75342,                0.77302,                0.79373,                0.66727,                0.62727,                 1.5168,                0.88981,                 1.0517,             0.00026894,             0.00026894,             0.00026894
                     84,                0.36634,                0.55316,                0.45534,                0.88706,                0.77698,                0.81486,                0.81056,                0.66296,                0.76135,                0.80251,                0.79818,                0.67643,                0.62476,                 1.5201,                0.88714,                  1.056,             0.00025479,             0.00025479,             0.00025479
                     85,                0.40534,                0.62622,                0.48534,                0.91468,                0.83449,                0.77921,                0.81068,                0.67159,                0.81741,                0.76686,                0.79628,                0.67997,                0.60871,                 1.4826,                0.92161,                 1.0451,             0.00024064,             0.00024064,             0.00024064
                     86,                 0.3796,                0.59642,                 0.4643,                0.90342,                0.83295,                0.76502,                0.80316,                0.66574,                0.81602,                0.75268,                0.79211,                0.67732,                0.60826,                 1.4325,                 0.9134,                 1.0484,              0.0002265,              0.0002265,              0.0002265
                     87,                0.40173,                0.64751,                0.47064,                0.90041,                0.83622,                 0.7685,                0.81909,                0.67417,                 0.8342,                0.75238,                0.80434,                0.69468,                0.59079,                 1.3658,                0.90895,                 1.0308,             0.00021235,             0.00021235,             0.00021235
                     88,                0.39303,                0.58809,                0.47186,                 0.8998,                0.83538,                 0.7657,                 0.8333,                0.68833,                0.82622,                0.75794,                0.81877,                0.70529,                0.60511,                 1.3207,                0.89615,                 1.0417,              0.0001982,              0.0001982,              0.0001982
                     89,                0.36605,                0.55873,                0.45439,                0.88859,                0.77988,                0.78476,                0.82804,                0.69018,                0.76253,                0.77409,                 0.8136,                0.69457,                0.61247,                 1.3064,                0.87843,                 1.0615,             0.00018406,             0.00018406,             0.00018406
                     90,                0.38493,                0.65874,                0.48318,                0.91614,                0.84268,                0.75638,                0.85251,                0.69592,                0.83783,                0.74907,                0.83819,                0.71837,                 0.6179,                 1.2985,                0.86209,                 1.0718,             0.00016991,             0.00016991,             0.00016991
                     91,                0.35247,                 0.6634,                0.56107,                0.88352,                0.86195,                0.75794,                0.86246,                0.71195,                0.86195,                0.75794,                0.85135,                0.74563,                0.63827,                 1.2832,                0.82592,                 1.0869,             0.00015576,             0.00015576,             0.00015576
                     92,                0.31508,                0.49499,                0.47971,                0.86074,                0.88885,                0.75086,                0.87449,                0.70667,                0.88885,                0.75086,                0.86083,                0.74938,                0.67875,                 1.2896,                0.81883,                 1.1134,             0.00014161,             0.00014161,             0.00014161
                     93,                0.30437,                0.47091,                0.43876,                0.85704,                0.84904,                 0.7756,                0.89213,                 0.7079,                0.84904,                 0.7756,                0.87845,                0.76112,                0.69488,                 1.2812,                0.88913,                 1.1228,             0.00012747,             0.00012747,             0.00012747
                     94,                0.31016,                0.45368,                0.43389,                0.86647,                0.83873,                0.76538,                0.88791,                0.71784,                0.82975,                0.75361,                0.87387,                0.75585,                0.67687,                  1.293,                0.95454,                 1.1096,             0.00011332,             0.00011332,             0.00011332
                     95,                0.30287,                0.48786,                0.41912,                0.85372,                0.83181,                0.71815,                0.87672,                0.71321,                0.83978,                0.71627,                0.86281,                0.74938,                0.63808,                 1.3094,                0.96633,                 1.0875,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.28368,                0.44816,                 0.3958,                 0.8421,                0.80455,                0.75433,                0.87476,                0.71933,                0.78879,                0.74198,                0.86076,                0.74846,                0.61951,                 1.3198,                0.96365,                 1.0692,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.29866,                 0.4491,                0.40312,                 0.8574,                0.79268,                0.78858,                0.88191,                0.71645,                0.77654,                0.77623,                0.86716,                0.75003,                0.61794,                 1.3349,                0.95909,                 1.0704,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.27237,                0.41932,                0.36376,                0.83996,                 0.7663,                0.78858,                0.87569,                0.71192,                0.75192,                0.77623,                0.86064,                 0.7392,                0.63432,                 1.3433,                 0.9559,                 1.0869,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                 0.2821,                0.43867,                0.38091,                0.83863,                0.75964,                0.78858,                0.87413,                0.71093,                0.74531,                0.77623,                0.85899,                0.74302,                0.63612,                 1.3411,                0.93807,                 1.0929,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.26758,                0.44339,                0.36169,                0.82809,                0.76628,                0.78391,                 0.8674,                0.71228,                0.75154,                0.77157,                0.85222,                 0.7403,                0.62604,                 1.3266,                0.93612,                 1.0864,             2.8437e-05,             2.8437e-05,             2.8437e-05
